horizon,model,MAE,RMSE,R2
H+1,Hybrid SARIMAX-LightGBM,10940.18454659207,21648.169882796446,0.9978316921540721
H+1,Hybrid SARIMAX-XGBoost,11255.735222915018,22116.28613796781,0.9977369040529154
H+1,SARIMAX,11315.52688330224,22177.49385024194,0.9977243603009432
H+2,Hybrid SARIMAX-LightGBM,19432.13787293817,31492.428547876687,0.995406581491045
H+2,Hybrid SARIMAX-XGBoost,15868.55073468316,28080.91808440546,0.996347869261758
H+2,SARIMAX,16070.865229221463,28241.800265680937,0.996305901552562
H+3,Hybrid SARIMAX-LightGBM,27988.787544327588,39609.82873199391,0.9927260130608782
H+3,Hybrid SARIMAX-XGBoost,19599.924637737367,31207.085363661,0.9954848414455454
H+3,SARIMAX,19939.375350010916,31524.35886584154,0.9953925661007919
H+4,Hybrid SARIMAX-LightGBM,34438.68025708654,46844.197681561,0.9898160661118365
H+4,Hybrid SARIMAX-XGBoost,23065.472903465612,35519.31624434346,0.9941449156626043
H+4,SARIMAX,23598.329180801014,35996.35616775428,0.993986586864773
H+5,Hybrid SARIMAX-LightGBM,36480.797262989996,49409.78358162305,0.9886584766735501
H+5,Hybrid SARIMAX-XGBoost,25840.703872763283,39133.73134038244,0.9928854406701945
H+5,SARIMAX,26517.427556966468,39801.304010800755,0.9926406393003117
H+6,Hybrid SARIMAX-LightGBM,42414.917124285435,56614.68563795151,0.9850944020743099
H+6,Hybrid SARIMAX-XGBoost,28572.850703380172,42421.13259643803,0.9916313439124567
H+6,SARIMAX,29440.768921328057,43306.33345213662,0.9912784428110774
H+7,Hybrid SARIMAX-LightGBM,47632.9630905225,64160.30336167258,0.9808355267497524
H+7,Hybrid SARIMAX-XGBoost,30819.82870432355,46239.95249487222,0.9900459726908213
H+7,SARIMAX,31885.56841127056,47343.7543427116,0.989565071968106
